X1_complex_code,X_10,X_20,X_40,X_60,X_80,X_100
3zsq,3,17,27,58,76,47
4jsa,5,13,38,13,64,56
3qbc,1,16,21,52,56,87
4e3g,5,16,26,53,40,50
4in9,9,12,15,6,79,34
2w47,4,4,19,48,16,26
1byk,4,4,19,48,16,26
1c84,1,8,3,39,66,48
1hlk,1,6,3,31,54,9
1nc3,4,4,22,54,38,81
1o35,1,6,29,57,30,59
1ql7,3,17,13,46,52,53
1sbr,1,19,29,5,2,88
2oiq,3,17,39,32,28,53
2oym,4,4,19,18,38,81
2vxn,5,7,30,30,50,70
3cfn,1,6,3,39,31,94
3gbe,5,13,23,38,44,30
3k02,2,1,4,55,41,6
3p9m,2,11,11,19,9,91
1ppi,2,1,4,55,41,6
2glp,1,8,16,7,39,21
4agq,3,17,20,35,21,42
4dds,1,6,3,24,46,94
2d0k,4,14,22,6,6,99
2xbp,0,9,6,9,17,20
3bgc,9,2,36,46,5,67
3usx,8,3,8,44,58,22
1i1e,9,2,27,20,54,47
4io5,5,10,31,27,68,31
4np9,0,7,35,4,62,78
1mfa,4,1,4,48,16,26
3tz0,5,3,8,40,47,35
4jym,5,13,14,14,4,29
4lk7,4,4,19,31,54,81
1dgm,4,18,22,54,61,49
1fkw,4,4,22,54,38,81
1qxk,9,14,15,6,54,63
3aau,1,6,29,57,30,59
3s76,5,13,14,14,4,29
4euo,5,3,8,40,47,35
2v77,8,3,7,10,24,58
3f68,9,19,20,35,13,34
4h7q,5,3,8,40,47,35
2c3l,1,6,3,39,31,94
2xm1,4,4,19,18,12,80
2yfa,5,10,31,27,68,62
3juo,1,19,20,12,66,46
1enu,5,16,21,52,56,87
1gfy,1,8,9,51,32,48
2qtg,4,18,22,54,61,49
3qyy,0,9,6,34,42,54
3tb6,5,13,23,38,78,41
1m48,3,19,15,35,13,34
1nw7,4,18,22,54,61,49
2ygf,9,12,12,26,65,0
1ez9,2,1,4,55,41,6
1kmy,8,16,21,52,31,52
1od8,4,4,19,18,12,68
1onz,1,6,3,31,71,94
1v0k,4,4,19,48,16,3
1w7g,9,14,32,6,79,63
2h5a,4,7,17,51,34,7
2qrq,4,4,19,18,38,81
2r9w,1,6,3,24,46,72
3p4v,1,8,7,10,66,71
3syr,4,4,19,18,38,68
3ujb,4,18,22,54,61,49
4dcs,0,9,34,9,17,37
1k4h,1,19,29,5,30,1
1yp9,3,17,27,32,28,95
3k4d,5,13,26,53,40,50
3ozj,8,0,1,47,74,96
4e49,5,13,14,14,4,29
1qaw,8,16,7,12,66,71
1uv6,8,3,8,0,18,84
2web,9,2,15,26,79,11
4f1l,1,8,7,51,66,58
4h81,8,16,7,51,10,73
1gcz,1,6,3,31,71,9
3s9e,5,10,18,36,49,35
1y3x,3,17,27,32,28,0
2br1,3,17,24,28,2,72
2yaz,0,18,17,45,73,5
3tao,5,7,30,30,50,70
4ejl,8,16,7,12,10,73
1jcx,4,7,17,45,34,7
1jvu,4,18,17,45,73,5
1o0m,4,18,17,45,73,5
1pb8,5,10,31,27,68,62
1qk3,0,18,34,45,20,28
1s38,1,16,21,52,56,87
1thz,1,14,13,49,11,13
2afx,8,16,21,39,31,52
3ozr,4,4,19,18,38,81
4h85,5,3,8,40,47,35
4jpx,8,16,7,23,10,73
3b27,1,8,29,5,32,88
2f5t,4,4,19,48,16,26
2zfp,8,19,20,35,13,34
3b7j,5,13,38,13,64,56
1ft7,5,3,8,40,47,35
2qrg,4,4,19,18,38,81
3w37,2,1,4,55,41,6
4duh,1,6,9,24,46,18
4iif,5,13,23,38,44,30
1ocq,4,4,19,48,16,26
1ogg,2,1,4,55,41,6
1oxr,1,16,21,52,56,87
1rnt,0,18,34,45,20,28
2qdt,8,3,7,10,60,17
4ezz,2,11,10,17,9,2
3uu1,5,13,38,13,29,56
4a6s,1,4,3,31,54,81
4ezr,2,11,37,19,33,91
1nw5,4,18,22,54,61,49
1o2r,3,6,29,57,30,59
4few,3,6,29,15,0,57
1bq4,5,8,38,4,62,12
1gjd,1,8,16,7,39,21
1j17,3,17,13,46,52,53
1o5c,3,6,29,57,30,59
1ucn,0,9,34,9,17,37
2gz2,0,18,34,45,20,28
2hxm,1,6,3,5,66,99
2rfy,4,4,19,48,16,26
2wzm,0,9,34,9,42,37
3dne,1,6,3,39,31,39
3iof,8,19,21,33,74,88
3lq2,0,18,34,9,69,86
3ms9,1,16,38,13,29,43
3n1c,4,7,17,18,34,7
3ppp,5,10,31,0,68,84
3q71,0,9,34,9,42,37
3qxt,3,14,22,6,6,99
4lrr,1,6,3,24,46,94
1b4z,8,12,5,1,3,19
1ndw,8,19,7,12,66,27
2q38,5,13,14,40,45,40
3lc3,1,6,29,28,2,72
1fh7,4,4,19,48,16,3
1q8w,1,19,20,33,37,46
1s89,5,10,30,22,57,36
2jfz,3,17,27,32,28,53
3pb8,8,19,7,12,24,58
4gue,4,4,19,31,54,9
4idn,0,9,6,9,17,20
4ih7,8,19,7,15,74,96
2bfr,0,9,34,9,17,37
3r24,4,18,22,54,61,49
1w4q,4,18,17,45,73,15
3n9s,4,7,17,45,34,7
2x7u,3,0,1,47,22,32
3tkw,9,2,15,21,55,83
4jfs,8,19,7,12,19,27
1b46,8,12,5,1,3,19
1f5l,1,16,29,5,30,88
3bbf,0,9,34,9,17,37
3o5x,3,17,27,58,28,4
4e70,8,16,7,12,19,71
4j46,8,12,5,1,3,19
1c88,1,8,7,51,32,48
2wc4,8,4,19,18,19,3
1a69,4,4,22,54,38,81
1h6h,4,12,19,48,16,15
1o0f,0,18,34,45,20,28
1srg,1,6,3,39,31,94
2q7q,8,16,26,53,40,52
2vk6,4,4,19,18,12,68
3gpo,0,9,34,9,42,37
3p9l,2,11,11,59,9,75
3pgl,3,19,24,28,37,27
3upv,2,11,10,17,9,2
1hk4,1,8,16,7,39,25
1mfd,4,1,4,48,16,26
1lvu,4,18,22,54,20,28
1y20,5,10,31,27,68,31
4ipi,5,10,31,27,68,62
2c80,8,12,5,1,3,19
3arx,8,19,20,43,74,46
3ozs,4,14,32,42,26,97
3q1x,5,10,31,27,68,62
1hee,4,4,7,12,66,71
1zgi,3,17,39,3,37,92
3efs,0,9,6,9,17,20
3hkq,5,13,23,38,44,30
3k4q,0,7,35,4,62,78
3nee,8,19,24,28,2,27
1ql9,3,17,13,46,52,53
2fxv,0,18,34,45,20,28
2gkl,5,13,18,36,49,12
3hkn,2,12,10,17,65,24
1adl,8,3,8,44,58,22
3bv9,2,12,10,17,33,24
3ldq,3,17,22,54,61,49
3mf5,3,17,24,58,21,42
1sgu,9,2,12,16,59,23
3qt6,0,7,17,56,34,5
4el5,4,4,19,18,38,68
1g3e,1,16,7,5,66,71
2qhd,8,3,8,44,58,22
3e85,8,19,20,39,31,94
3tif,0,9,34,9,17,37
4f7v,9,2,22,6,42,99
1qbv,8,19,20,35,13,34
2h6b,1,16,7,51,10,73
3hkt,4,4,19,48,16,26
3m1k,5,13,14,14,4,29
4ej8,1,16,26,41,40,69
1bp0,0,18,17,45,73,5
1m7i,2,1,4,55,41,6
1mmr,9,2,15,35,13,95
1pz5,2,11,37,19,33,91
1r9l,5,10,31,0,68,84
1trd,5,7,30,30,50,70
2c1p,1,6,3,39,31,94
2f35,1,19,7,33,66,71
2i80,1,19,32,42,26,97
2qg2,6,15,2,37,7,8
3arr,8,19,20,43,74,88
3b4p,8,19,20,12,24,46
3l6h,5,10,31,0,68,84
2j47,4,4,22,18,38,81
1gja,1,6,29,57,30,59
2vpo,5,13,38,40,45,40
4fev,3,19,29,15,0,57
3ng4,5,10,31,27,68,62
4f5y,0,9,6,34,42,54
1h0a,0,7,35,4,62,78
1syi,8,16,7,10,74,71
2q6f,9,2,12,26,65,23
2wr8,4,18,22,54,61,49
3lp7,8,3,8,23,60,17
3u10,0,18,22,54,20,28
4dju,1,19,24,28,31,52
2iko,1,6,29,5,30,88
3mi3,8,3,8,23,60,17
1b4h,8,12,5,1,3,19
1q65,1,19,29,43,74,46
1g7f,9,12,15,6,79,63
1gi1,1,6,29,57,30,59
1o2s,1,6,29,57,30,59
1xh5,9,2,12,26,76,47
2hf8,0,9,6,9,17,20
2r0z,2,11,10,17,48,24
2xde,3,17,15,35,76,34
2y7p,5,13,14,40,45,40
4n7m,8,19,20,12,31,46
1g85,8,3,8,23,58,17
2cbv,5,13,23,38,78,41
2zkj,0,9,34,9,17,37
3bxe,5,7,26,30,50,70
3iw6,3,17,24,28,21,95
3zdv,4,4,19,33,52,38
4jfm,3,14,13,46,52,38
4kp8,1,8,9,49,11,13
1pot,8,3,8,23,58,17
1pyn,9,2,15,6,79,63
1tys,0,18,17,45,73,5
2h4k,1,8,16,7,32,48
2o0u,3,17,27,32,28,42
2uy5,1,6,3,5,66,1
3bvb,9,2,15,21,55,83
3ga5,4,4,19,48,16,3
3hmp,1,19,20,39,27,46
3i73,0,9,34,9,17,37
3tza,1,16,7,10,66,71
2wqp,4,4,19,18,12,68
3da9,3,19,20,35,13,34
3kgt,1,6,3,31,71,9
4k55,0,7,17,56,8,5
1a8i,4,4,19,18,12,68
1kc7,5,10,30,22,57,36
1oe8,4,4,5,10,12,80
1ydr,3,19,20,33,37,38
2cht,5,16,26,53,40,50
2ydt,4,4,19,18,16,3
3hzm,4,4,23,18,12,3
3iog,1,8,16,41,32,48
4de3,1,8,3,24,46,21
4en4,8,16,21,52,56,87
1bjv,1,6,29,57,30,59
2olb,8,12,5,1,3,19
2y7i,8,3,8,23,60,17
3bxf,4,7,17,45,34,7
3jyr,2,1,4,55,41,6
3ubd,9,14,15,31,54,47
3v78,3,6,24,28,21,72
1g3d,1,16,7,5,66,71
1njc,0,18,17,45,73,5
1y3n,4,4,19,48,16,26
2iuz,3,17,24,43,74,88
3uzj,5,13,14,14,4,29
2jdn,5,13,23,38,44,30
1jak,4,4,19,18,12,80
1njd,0,18,17,45,73,5
2nmx,1,19,7,33,24,58
3bex,8,3,7,10,12,17
3coz,4,18,22,54,61,28
3uxl,5,16,26,41,40,69
3vtr,2,1,4,55,41,6
3jup,1,19,20,12,66,46
1f4x,4,4,19,18,12,68
1fo0,2,11,11,19,9,91
1mfi,1,16,7,41,66,71
3gxy,2,1,4,55,41,6
3sha,3,19,20,35,13,34
4bqh,1,8,9,24,46,21
1vfn,5,13,14,14,4,29
2yhw,4,4,19,18,12,80
2yhy,4,4,19,18,12,80
3bl1,1,6,13,49,11,13
3e6y,9,2,12,16,75,33
3qps,9,0,1,47,22,32
3u5j,3,6,24,28,2,72
1ejn,8,19,20,15,13,95
2bmk,4,18,17,45,69,15
3e3c,8,7,5,10,12,80
3ip9,5,3,8,40,47,35
3ldp,3,17,22,54,61,49
3lpl,0,7,17,56,8,70
3nes,8,19,24,28,2,27
4ddy,1,14,32,42,26,97
4dli,3,6,29,3,27,46
4dzy,8,16,7,51,10,73
4iid,5,13,23,38,44,30
4j48,8,12,5,1,3,19
3gy3,8,19,29,57,30,59
3l1n,8,3,8,44,58,22
3rf5,6,15,2,37,7,74
1f57,5,10,31,27,68,62
1y3v,3,17,27,20,28,95
1z9g,8,19,7,12,24,58
2ojg,3,6,24,28,2,72
2reg,5,10,31,0,47,84
3arv,3,17,24,28,23,72
3fwv,2,12,10,17,65,24
3s8l,9,12,15,6,79,63
4deu,1,6,3,31,71,9
3q7q,0,9,6,9,17,20
1n5r,3,17,27,58,21,42
1nhu,3,14,32,42,72,82
2aod,2,11,10,17,48,2
2erz,1,19,13,33,52,38
3ery,2,11,37,19,15,91
3td4,8,3,8,23,60,17
3zi8,5,13,23,38,78,41
2h15,4,18,13,33,24,15
2pqz,9,2,36,46,5,67
2qwf,4,19,5,18,12,68
1gnn,2,12,10,17,48,2
2c92,4,18,22,45,38,15
2cbu,5,13,23,38,44,30
2q8z,4,18,17,45,73,5
2uyq,4,18,22,54,61,49
3b5j,0,9,6,34,42,37
3oil,3,0,1,47,22,32
4det,1,6,3,31,71,9
4l4z,4,7,17,10,34,7
1a99,5,3,8,23,47,41
1egh,5,10,30,22,57,36
1g98,4,7,17,10,34,7
1g9r,0,9,34,9,73,37
1jsv,1,8,29,49,11,13
1pgp,4,7,17,45,34,7
2a14,4,18,22,54,61,49
2avm,2,11,10,17,48,2
2f2h,4,4,19,48,16,26
2h3e,4,7,17,10,34,80
2i4z,3,17,20,35,21,95
2ya6,4,4,19,18,12,68
3acx,8,19,20,28,21,27
3c4h,8,16,38,13,29,1
3d4y,5,13,23,38,44,30
3fhb,5,13,14,40,45,40
3kku,1,6,3,24,46,18
4bs0,5,13,14,14,4,40
4f39,8,16,26,53,40,69
4j28,4,19,20,12,38,81
1n7m,9,2,12,20,75,33
2uz9,5,13,14,40,45,40
2qg0,1,14,13,49,11,13
2v25,5,10,31,27,68,62
3jvr,1,6,3,24,46,1
3shc,3,19,20,35,13,34
4br3,3,17,39,32,28,53
4dkp,1,6,3,24,66,18
3bqc,1,6,3,31,71,9
3m3z,4,18,22,54,61,49
4j44,8,12,5,1,3,19
1o33,1,6,29,57,30,59
1o5e,1,6,29,57,30,59
1qy2,5,13,38,13,29,43
1zdp,8,19,7,12,66,58
2pgz,8,19,20,35,21,27
2pqc,0,7,17,45,73,5
3gy2,1,6,29,57,30,59
3ivx,3,14,13,24,52,38
3pb7,8,19,20,28,2,27
4lps,0,9,34,9,17,37
2ya8,8,19,5,12,3,76
1p1o,5,16,26,10,60,70
2qta,0,18,34,9,69,86
4a95,3,19,24,28,21,72
1jmf,0,18,17,45,73,5
1ur9,4,12,19,6,79,63
2boj,5,13,23,38,44,30
2xp7,1,8,3,39,10,48
3k00,2,1,4,55,41,6
3rm4,3,19,20,3,27,92
4fxq,3,19,20,35,21,95
4j45,4,12,5,1,3,19
4l4v,4,4,19,18,38,68
1hmt,8,3,8,44,58,22
1kpm,8,0,1,47,22,0
1ppm,9,12,15,26,79,63
2q88,5,13,14,40,45,40
4ezx,2,11,10,17,48,2
4g8v,4,4,22,54,38,81
1lkl,9,12,15,6,79,63
1hdq,4,4,7,12,66,71
1kav,1,14,32,42,26,97
1ols,0,18,34,9,69,86
1urg,4,4,19,48,16,26
2nn1,1,8,7,33,24,58
3b7i,5,3,8,40,47,35
3gss,9,12,15,6,79,63
3iue,1,14,13,33,52,38
3qqa,9,0,1,47,22,32
3qqs,1,6,3,39,31,94
4dld,1,16,7,10,66,71
4e9u,1,6,3,39,31,27
4do5,5,13,23,38,44,30
4km2,1,19,29,28,2,88
1k4g,1,8,29,5,30,1
1o2w,1,8,9,24,6,21
1ogz,3,0,1,47,22,32
1q54,0,7,17,56,8,5
1qbn,3,6,39,24,6,4
1u1w,5,13,14,40,45,40
2e5y,0,9,6,9,17,20
2pu1,5,13,30,40,45,40
2r3t,9,2,36,46,5,67
2vmf,5,13,23,38,44,30
2z94,5,16,38,13,64,56
3e5u,1,16,7,51,10,73
4b6r,4,4,19,18,54,81
4jv8,3,6,39,11,37,39
4azc,8,4,23,18,19,3
4jne,0,9,6,9,17,20
3tcg,8,12,5,1,3,19
1b3l,8,12,5,1,3,19
1e1x,6,15,2,37,7,74
1ydk,8,12,5,1,3,19
2brm,3,6,24,3,27,42
2eg7,5,13,18,36,49,12
2tmn,5,7,26,10,60,70
3eeb,0,7,35,4,62,78
3h1x,1,6,3,24,46,72
3qgw,3,6,13,24,46,4
3uev,8,3,8,44,58,22
4arb,8,19,20,35,13,76
4de0,1,6,3,24,46,94
1v2n,3,6,29,57,30,59
2weq,9,2,12,26,65,0
3old,2,1,4,25,51,45
1ugx,4,4,19,48,16,26
1a4h,9,2,12,26,65,0
1a4w,9,2,15,46,52,44
1jao,8,19,5,12,13,80
1kyv,4,4,22,6,54,15
1ndv,1,6,29,57,30,59
1o0h,0,9,34,9,17,37
1pph,9,14,13,35,52,38
1qf2,3,19,20,35,13,34
1qka,8,12,5,1,3,19
1yds,1,19,20,33,24,46
1yet,9,2,12,26,65,0
2ans,1,6,3,39,31,94
2pmk,0,9,6,34,42,37
2xn3,1,6,3,39,31,94
3kgu,1,6,3,31,71,9
3neo,3,6,3,28,21,27
3r4m,1,8,29,5,32,88
3zv7,8,16,21,52,56,87
4kyh,1,14,32,42,26,97
4lkk,4,4,19,48,16,26
1fv0,1,6,3,31,46,72
1kv1,1,19,20,15,0,57
3lmk,5,10,18,36,49,35
4mr3,1,6,29,28,2,1
2weh,5,13,38,13,29,56
1b9j,8,12,5,1,3,19
1d6w,9,14,13,46,52,53
1nl9,9,14,15,58,76,47
1o36,3,14,13,24,6,4
2j79,5,13,23,38,44,30
2xht,8,19,20,15,74,27
1uwt,5,13,23,38,44,30
4fm8,3,17,13,15,52,95
4nkt,0,9,6,9,17,20
1uwu,5,13,23,38,44,30
3e12,4,7,17,18,34,7
4az5,8,4,23,18,19,3
1a1e,9,12,15,6,79,63
1ado,5,7,26,30,50,70
1c5s,1,16,21,52,56,87
1ceb,8,3,8,23,10,73
1d2e,0,9,34,9,17,37
1f0t,3,14,13,24,52,38
1jq8,9,12,10,1,65,19
1ssq,5,10,31,27,68,62
1xk5,0,9,6,34,42,85
2bvd,4,4,19,48,16,26
2gh9,4,1,4,55,41,6
2izl,8,19,7,12,24,58
2r43,9,2,36,46,5,67
2rcn,0,9,34,9,17,37
2vqt,4,4,19,18,19,3
2wf5,4,7,17,18,34,7
3ary,1,6,3,39,31,46
3bze,7,11,11,19,15,91
3ddg,4,4,19,18,38,81
3nex,3,6,3,28,21,27
3ucj,1,8,9,51,63,79
3uil,8,3,8,44,58,22
4bb9,4,7,17,18,34,7
1b5h,8,12,5,1,3,19
1eb2,9,17,15,35,76,34
4b6s,4,4,19,18,26,97
1tcw,9,2,15,26,59,23
3su6,9,2,12,16,59,60
3zq9,4,4,19,48,16,26
5er1,9,12,5,1,65,23
1n8v,8,3,8,44,58,22
1okl,1,8,7,33,74,61
1sh9,9,2,12,26,59,23
1t7d,9,2,15,26,79,24
2ce9,2,2,37,26,33,24
4f9u,1,19,24,28,2,88
4f9v,8,19,24,28,2,88
1xbo,1,6,3,24,54,18
4km0,1,6,29,5,30,88
1eoc,5,13,26,53,40,50
3bgb,9,2,15,21,55,83
3gus,1,19,20,12,66,46
3iss,0,9,34,34,42,37
3ouj,5,10,18,36,49,12
3pcf,5,16,26,53,40,50
4ara,8,19,20,35,13,76
4kqp,5,3,26,23,60,98
1g7q,2,11,10,17,33,2
1jmi,0,18,17,45,73,5
1kjr,4,1,19,55,41,6
1qb6,1,6,29,57,30,59
2fxs,1,8,9,5,6,1
2nnd,8,3,21,52,18,96
3sfg,4,4,19,18,38,68
4io3,5,10,31,27,68,62
4l50,4,7,17,10,34,7
1jmg,0,18,17,45,73,5
2gst,9,14,15,6,79,34
2w5g,0,9,6,9,17,20
3b25,1,8,9,33,11,1
3c89,4,12,5,1,3,19
3fvl,8,19,7,12,66,71
1nhz,3,0,1,47,22,32
2w7y,4,1,4,55,41,6
2wc3,8,4,19,18,19,3
2wej,5,13,38,13,64,56
3iw5,3,14,32,42,72,82
4kp5,1,8,9,49,11,13
1o2n,1,6,29,57,30,59
1ogx,3,0,1,47,22,32
1w9u,2,2,10,17,33,24
3p8z,3,17,22,54,61,49
1azm,1,8,9,51,63,79
1dzk,8,3,21,52,18,96
1lgt,1,16,21,52,31,87
1m2q,1,6,3,31,71,9
2e7f,3,14,22,6,6,99
2ewb,1,19,7,12,66,27
2flr,3,6,39,57,30,39
2p7a,5,13,14,14,4,29
2wed,9,2,15,26,76,11
2yay,0,9,6,9,17,20
3c8b,4,12,5,1,3,19
3cke,8,7,17,56,69,86
3v2n,8,3,8,44,58,22
4gah,2,2,12,34,42,85
4kzq,1,6,3,39,71,9
1g32,3,17,27,57,28,59
1m2p,1,6,3,31,71,9
1o2z,3,14,13,24,6,4
2qnq,9,2,36,46,5,67
2qx0,4,4,22,5,12,80
4kao,3,17,39,15,0,57
1nc1,4,18,22,54,61,49
1x8r,0,7,17,45,73,5
2fgv,9,2,12,16,59,23
2p2a,1,19,22,24,66,18
2wvt,5,13,23,38,44,30
3qfy,5,13,23,38,78,41
4ayp,4,4,19,48,16,26
4hp0,2,1,4,55,41,6
4k4j,8,19,1,12,21,27
2c97,1,7,17,45,73,5
2fqt,4,4,19,18,12,80
2zym,2,1,4,25,51,45
1u0g,4,7,17,10,34,7
1zs0,1,14,13,33,52,38
2r75,0,9,6,9,17,20
3arw,3,17,24,28,2,72
1ppc,9,14,15,6,79,11
2i4j,3,17,20,35,21,95
3m89,0,9,6,9,17,20
1a9q,5,13,14,14,4,29
1d6v,3,19,20,35,13,34
1k1o,8,12,5,1,13,76
1ndy,1,6,29,28,66,27
3bkl,9,2,15,26,79,11
3hk1,1,8,9,5,32,48
4aq4,5,7,26,30,50,70
4b9k,3,17,13,24,52,38
4fht,5,13,26,53,40,50
1xhy,8,3,26,53,40,69
3c8a,4,12,5,1,3,19
1iy7,1,8,7,12,24,58
1tq4,0,9,34,9,17,37
1v2k,3,17,13,46,52,53
2bt9,5,13,23,38,44,30
2qbu,4,18,22,54,61,49
3u5l,3,6,24,28,2,72
1owe,1,6,29,57,30,59
1sqt,3,19,13,33,2,38
2aj8,3,17,24,43,27,92
2qrp,6,15,2,37,7,8
3p9t,1,8,3,39,32,21
4ad2,4,4,19,48,16,26
4k6i,3,0,1,15,0,0
1b3h,8,12,5,1,3,19
3n0h,1,19,29,28,2,88
3s8n,9,12,15,6,79,63
3sug,9,2,12,16,59,33
1l8g,1,14,9,24,6,13
2xda,1,19,20,12,66,81
3acl,3,6,13,33,52,38
3ip5,5,10,31,27,68,31
3lpp,4,4,19,48,16,26
3p2e,4,18,22,54,61,49
3pb3,4,18,22,54,61,49
3pd9,5,16,26,53,40,50
4bqg,1,6,3,31,71,9
4m0e,3,6,24,28,2,72
4mdn,9,2,27,20,0,57
4mjo,1,8,9,49,11,13
1m7d,4,4,19,48,16,26
3okv,3,0,1,47,22,32
3s3v,1,19,29,28,2,88
1gnm,2,12,10,17,48,2
2o4z,5,10,31,27,25,31
2zdn,8,19,20,35,13,34
3rf4,1,8,9,49,11,13
4bcp,3,17,24,3,2,92
1wcq,4,4,19,18,12,68
3bgz,3,6,3,39,46,94
3su4,9,2,12,16,59,60
1pbq,1,8,9,51,32,48
2j94,3,14,13,33,52,38
1afl,0,9,34,9,17,37
1atl,8,19,20,12,13,76
2aog,2,11,10,17,48,2
4djw,3,6,24,28,2,72
2xyt,9,2,27,58,23,65
3f48,5,10,31,27,68,31
3h8b,2,11,37,16,33,91
3v2q,8,3,8,44,58,22
4d8z,1,18,29,5,30,88
1d4p,3,17,20,35,37,59
1lag,5,16,26,10,60,98
1wdn,5,3,26,23,60,98
1wm1,8,19,20,43,74,96
2oi2,0,7,17,56,8,5
2q89,5,13,38,40,45,40
2vrj,8,4,19,18,19,3
3ebl,3,0,1,47,22,32
3t70,3,17,20,35,21,95
4e1k,3,6,3,24,46,94
4eor,3,14,13,3,27,92
4etz,0,9,6,34,42,54
1nja,0,18,17,45,73,5
2bal,3,17,24,3,27,92
2pvu,8,3,8,23,60,17
3q44,9,19,20,35,13,34
3u93,5,10,18,36,49,35
3uew,8,3,8,44,58,22
4der,1,6,3,31,71,9
1w3j,5,13,23,38,78,41
2wnc,3,19,20,3,27,46
2zb1,3,6,24,28,2,72
3ebh,8,19,5,12,13,76
3w9k,8,3,8,44,58,22
6upj,8,19,20,35,21,27
1ex8,0,9,6,34,42,85
1bdq,9,2,15,26,59,23
1i00,3,14,13,24,6,99
1w9v,2,12,10,17,79,24
1xq0,1,8,9,49,11,13
3cj5,3,19,20,35,13,95
3zk6,3,17,13,46,52,44
1cbx,8,16,7,12,10,73
1gjc,1,6,29,57,30,59
2j7f,4,4,7,51,10,73
2p09,0,9,6,9,17,20
3ckp,9,2,15,26,76,47
3ctt,5,13,23,38,44,30
3ed0,1,6,3,31,71,9
3fvh,2,12,10,17,48,24
3rt8,4,16,7,10,74,71
1c5q,1,8,16,52,32,66
1ela,9,12,5,6,13,34
1o2o,3,6,29,57,30,59
3oku,3,0,1,47,22,32
3t6b,9,2,12,26,59,23
3v2p,8,3,8,44,58,22
1gx8,8,0,1,47,18,96
1hbv,9,12,12,26,65,23
1hms,8,3,8,44,58,22
2qpq,5,10,18,36,43,12
2w9h,1,19,29,28,2,88
2zdk,8,19,20,35,13,34
3qlm,8,3,8,44,58,22
2hkf,2,11,10,17,33,91
2wcg,5,13,23,38,44,30
2ybu,3,17,24,43,74,88
1g7v,4,7,17,45,34,7
1i7z,8,19,20,35,21,27
1igb,1,8,16,7,39,21
1usk,5,3,8,40,47,35
1yvm,1,6,3,39,31,94
2g9q,5,13,23,38,78,41
2y8c,9,2,15,58,76,47
2zdl,8,19,20,35,13,34
3arq,9,2,27,20,54,47
3k1j,0,9,34,9,17,37
3kmc,8,12,5,1,3,19
3s72,1,16,21,52,56,87
3tf6,5,13,14,40,45,40
3zll,1,19,7,12,66,71
4eu0,0,9,6,34,42,54
4mss,8,4,19,18,19,3
1i80,5,13,14,14,4,29
1syh,8,16,7,10,74,71
2cgf,1,19,3,31,54,18
2qnp,9,2,36,46,5,67
2xxx,5,10,18,36,49,35
2zdm,8,19,20,35,13,34
3k5x,8,3,7,10,10,73
3r17,1,8,9,49,11,13
1o5a,1,6,29,57,30,59
3d2e,0,9,6,9,17,20
1fh9,4,4,19,48,16,26
2b07,3,14,13,46,52,44
2fqo,4,4,19,18,12,80
3v3l,0,18,34,45,20,28
4ge1,8,16,21,52,56,52
2jh5,3,14,13,33,52,38
2pvm,3,6,24,3,27,92
3pfp,4,7,17,56,34,7
4da5,3,19,24,3,21,46
4ea1,8,0,1,47,18,96
4ea2,6,15,2,37,7,74
4jfk,3,17,13,46,52,38
3qw5,9,12,10,1,48,19
1m2r,1,6,29,31,71,9
1ro6,8,19,20,12,21,46
2xd9,1,16,7,5,66,1
2xdx,1,8,29,5,32,88
3o8p,1,19,20,15,0,57
3pd8,5,13,14,40,45,40
4n07,1,16,7,51,10,73
1j01,4,4,19,18,12,68
3cm2,9,12,15,35,76,34
3s78,6,15,2,37,7,74
3tfp,1,8,3,24,46,21
1f4g,9,14,13,6,52,99
1gpn,8,0,1,47,22,32
1rpj,5,13,23,38,44,30
2wnj,3,19,24,28,37,27
3g3r,5,7,28,30,8,89
3gsm,4,4,19,18,12,80
4e67,2,11,37,17,33,24
1dl7,8,7,17,56,8,5
3bft,5,16,26,10,60,98
3mho,1,8,9,49,11,13
3nw3,4,12,5,1,3,19
3s0b,1,6,3,39,31,94
4hw3,1,6,24,28,2,72
2g72,1,19,20,33,52,38
3bwj,2,11,10,17,48,24
4kzu,1,6,3,39,31,94
4mme,1,6,24,28,2,72
2jdh,4,4,19,48,16,26
2usn,1,6,3,24,46,18
2xjj,3,6,20,15,0,57
3cj4,6,15,25,8,7,90
3hf8,3,14,32,42,72,82
4fut,0,9,6,9,17,20
1alw,8,16,7,51,10,73
1ct8,4,14,32,42,26,97
1g74,8,3,8,44,58,22
1k9s,4,4,22,54,61,49
1qy1,8,3,21,52,18,96
1zhy,8,0,1,47,22,32
2h4g,1,8,16,7,32,48
2nn7,1,19,7,33,24,58
2nt7,3,14,13,46,52,44
2oxy,6,15,2,37,7,8
2pfy,5,10,31,27,68,62
2zft,8,19,20,35,13,34
3bva,2,11,10,17,48,2
3dx3,5,13,31,14,78,41
3hzv,4,4,19,48,16,26
3o9p,4,12,5,1,3,19
4dko,8,0,1,15,0,0
4dkr,1,14,29,6,6,18
2p7g,8,0,1,39,18,52
3ama,1,8,9,49,11,13
1drv,0,9,34,34,42,37
1o3l,1,8,9,24,30,21
2h21,4,18,22,54,61,49
2jdk,4,4,19,48,16,26
2zfs,8,19,20,35,13,34
3d0b,3,17,24,28,2,72
3fuz,5,10,18,36,49,35
3sr4,4,18,22,54,61,49
4a4v,8,19,20,12,21,27
