X1_number_of_ligand_nonh_atoms,X2_total_sum_hphob_hphob,X3_total_diff_hphob_hphob,X4_total_diff_hphob_hphil,X5_total_sum_hphil_hphil,X6_total_diff_hphil_hphil,X7_number_of_salt_bridges,X8_number_of_hbonds,X9_number_of_unsat_polar,X10_number_of_unsat_charge,X11_ratio_of_interfacial_ligand_heavy_atoms,X12_number_of_interfacial_ligand_atoms,X13_number_of_exposed_hydro_ligand_atoms,X14_number_of_ligand_flexible_bonds,X15_number_of_all_interfacial_flexible_bonds,X16_total_avg_hphob_hphob,X17_old_slide_total_sum_hphob_hphob,X18_number_of_flexible_interfacial_ligand_bonds,X19_total_hphob_comp,X20_total_hphob_hphob_comp,X21_contact_hphob_hphob,X22_contact_hphil_hphil,X23_contact_hphob_hphil,X24_total_target_hphob_hphob,X25_increase_hphob_environ,X26_total_target_hydro,X27_norm_target_hphob_hphob,X28_total_target_hphob_contact,X29_norm_target_hphob_contact,X30_total_ligand_hydro,X31_hphob_score,X32_polar_score,X33_unsat_polar_score,X34_contact_hphob_hphob,X35_number_of_hbonds,X36_number_of_salt_bridges,X37_number_of_metal_ligand_bonds,X38_number_of_interfacial_unsatisfied_polar_atoms,X39_number_of_interfacial_unsatisfied_charged_atoms,X40_buried_carbons,Y1_orientation_score,Y2_affinity_score_by_no_of_lig_heavy_atoms,Y3_affinity_score
26,-4.873,1.315,22.58,9.699,2.942,0,4,12,7,0.885,23,3,13,30,-1.625,8.469,7,14.753,7.264,24,29,55,-3.633,8.346,23.767,-4.682,4.456,2.222,8.061,-1.736,-0.332,2.546,24,4,0,0,12,7,0.75,-6.675,0.018,-4.74
26,-9.128,2.012,46.921,12.381,5.151,0,7,12,4,1,26,0,13,24,-2.306,23.255,8,17.702,10.718,47,43,121,-7.423,20.475,28.06,-9.246,-6.149,-8.16,9.726,-2.562,-0.581,2.144,47,7,0,0,12,4,1,-8.033,-0.038,-6.217
8,-6.383,1.762,21.561,4.403,1.714,0,4,4,2,1,8,0,0,9,-0.727,9.515,0,5.262,3.914,35,15,49,-5.763,5.622,16.651,-6.984,-5.65,-6.974,2.64,-0.936,-0.332,0.804,35,4,0,0,4,2,1,-6.494,-0.058,-5.682
11,-10.873,2.603,12.766,2.338,0.413,0,2,4,2,1,11,0,3,16,-1.89,14.043,3,8.286,8.792,59,7,30,-9.478,3.923,14.192,-11.156,-3.292,-3.869,5.205,-2.101,-0.166,0.804,59,2,0,0,4,2,1,-6.518,-0.133,-6.681
11,-10.689,2.574,12.677,1.933,0.228,0,2,3,2,1,11,0,3,16,-1.974,17.129,3,8.164,8.781,58,5,30,-9.294,4.012,14.016,-10.701,-3.602,-4.323,5.205,-2.099,-0.166,0.67,58,2,0,0,3,2,1,-6.484,-0.145,-6.813
15,-9.576,2.242,25.477,6.633,2.559,0,2,12,1,1,15,0,4,17,-1.55,14.918,3,10.93,7.853,52,22,71,-8.336,14.007,17.188,-9.336,-4.999,-6.652,6.345,-1.877,-0.166,1.742,52,2,0,0,12,1,1,-6.539,-0.02,-5.519
20,-14.554,3.704,27.024,7.047,3.476,6,3,10,2,1,20,0,3,20,-2.168,19.763,3,15.351,11.815,82,24,77,-12.694,15.717,22.082,-14.02,-4.155,-8.086,9.03,-2.824,-0.747,1.608,82,3,6,0,10,2,1,-8.851,-0.098,-7.181
12,-11.897,2.881,17.455,4.429,2.277,0,5,4,1,1,12,0,0,11,-1.444,16.162,0,9.773,7.873,66,14,49,-10.657,9.737,14.344,-12.182,-6.272,-9.752,5.4,-1.882,-0.415,0.67,66,5,0,0,4,1,1,-7.255,-0.136,-6.845
21,-14.018,3.029,15.706,3.865,1.471,0,0,14,3,1,21,0,5,14,-3.337,25.547,1,16.897,14.742,74,14,44,-11.693,8.89,19.103,-12.897,-5.873,-7.257,9.888,-3.523,0,2.278,74,0,0,0,14,3,1,-6.784,-0.059,-6.463
43,-23.799,5.714,46.468,7.552,2.572,0,3,17,2,0.93,40,2,7,28,-6.089,29.1,5,28.263,27.691,122,21,118,-19.304,19.305,26.504,-22.027,-1.555,-5.661,18.78,-6.618,-0.249,2.546,122,3,0,0,17,2,0.938,-8.907,-0.1,-9.539
27,-14.174,3.355,19.601,3.79,2.047,0,1,16,3,0.963,26,1,4,13,-4.153,30.84,1,19.442,18.153,74,13,56,-11.229,11.47,19.241,-12.508,-4.287,-6.047,12.426,-4.339,-0.083,2.546,74,1,0,0,16,3,0.95,-6.982,-0.069,-7.094
19,-14.823,3.492,19.97,3.132,0.816,0,3,7,2,1,19,0,6,22,-2.827,22.045,6,14.788,13.62,79,9,49,-12.653,7.491,20.228,-15.02,-6.083,-8.413,8.835,-3.255,-0.249,1.206,79,3,0,0,7,2,1,-7.535,-0.121,-7.516
23,-18.875,4.748,23.97,2.307,0.625,0,2,11,3,0.957,22,0,6,23,-3.272,27.447,6,16.714,16.712,104,7,58,-16.24,8.506,22.615,-19.127,-6.44,-10.169,10.77,-3.994,-0.166,1.876,104,2,0,0,11,3,1,-8.067,-0.099,-7.502
37,-16.466,3.835,33.243,6.952,2.985,0,5,13,2,0.973,36,0,10,30,-5.361,42.519,9,25.846,23.129,83,21,92,-12.746,17.527,25.062,-14.472,-0.921,-1.874,17.19,-5.528,-0.415,2.01,83,5,0,0,13,2,1,-8.3,-0.106,-9.151
8,-9.435,2.605,15.868,2.933,1.35,0,3,4,1,1,8,0,0,8,-1.049,13.852,0,6.204,5.926,54,11,37,-8.505,4.766,16.426,-10.004,-6.127,-8.323,3.54,-1.416,-0.249,0.67,54,3,0,0,4,1,1,-6.728,-0.124,-6.213
19,-12.847,3.011,28.792,7.443,2.708,0,2,14,3,1,19,0,2,19,-2.344,19.089,2,13.764,11.765,70,24,72,-10.987,11.483,22.325,-12.675,-4.641,-6.229,8.238,-2.812,-0.166,2.278,70,2,0,0,14,3,1,-7.267,-0.037,-5.918
22,-12.838,2.894,35.095,8.017,2.01,0,4,12,3,1,22,0,3,19,-2.918,22.02,3,14.833,12.678,67,23,82,-10.823,11.02,23.816,-12.223,-5.591,-8.751,8.79,-3.03,-0.332,2.01,67,4,0,0,12,3,1,-7.667,-0.061,-6.57
18,-11.651,2.746,19.219,2.696,0.709,0,1,8,3,1,18,0,4,16,-3.259,16.424,3,13.234,13.599,61,9,53,-9.481,10.086,15.71,-11.149,-3.131,-4.558,8.73,-3.25,-0.083,1.474,61,1,0,0,8,3,1,-6.467,-0.103,-7.077
27,-18.001,4.247,26.888,4.784,1.583,0,0,16,4,1,27,0,7,27,-3.977,28.43,7,19.878,18.349,97,15,70,-15.056,12.182,23.22,-17.158,-5.009,-7.35,13.038,-4.385,0,2.68,97,0,0,0,16,4,1,-7.564,-0.063,-6.923
35,-19.074,4.749,35.625,6.324,1.784,0,4,15,4,0.971,34,0,4,23,-5.514,28.677,4,23.264,24.386,97,19,84,-15.044,11.39,26.722,-18.435,-2.65,-5.717,16.08,-5.828,-0.332,2.546,97,4,0,0,15,4,1,-8.534,-0.103,-8.832
57,-27.372,6.377,77.556,20.999,6.94,9,6,34,2,1,57,0,27,56,-6.597,48.483,24,39.785,29.755,140,66,193,-22.567,31.045,46.215,-24.617,-7.514,-9.526,22.815,-7.111,-1.245,4.824,140,6,9,0,34,2,1,-12.791,-0.062,-8.75
68,-39.49,10.326,90.694,23.788,9.192,4,6,37,7,0.941,64,2,36,77,-8.704,56.868,32,46.16,39.696,207,84,232,-33.135,39.657,55.216,-36.426,-4.335,-10.001,27.6,-9.487,-0.83,5.896,207,6,4,0,37,7,0.955,-13.936,-0.065,-9.639
68,-41.951,10.021,81.707,15.977,5.82,1,4,34,7,0.971,66,2,29,67,-8.669,63.434,25,47.878,41.633,219,50,210,-35.286,35.134,48.665,-37.566,-13.959,-18.909,28.53,-9.95,-0.415,5.494,219,4,1,0,34,7,0.957,-12.868,-0.072,-10.089
20,-12.178,2.902,24.955,7.569,1.918,0,3,10,3,1,20,0,2,16,-2.197,24.93,2,14.053,10.818,67,22,58,-10.473,7.552,18.399,-11.486,-4.488,-6.004,8.13,-2.586,-0.249,1.742,67,3,0,0,10,3,1,-7.147,-0.055,-6.311
22,-13.3,3.45,19.998,3.586,1.18,0,0,10,4,0.955,21,1,2,16,-3.076,26.32,2,14.954,14.37,71,12,46,-10.975,5.786,14.994,-13.134,-2.329,-3.075,9.765,-3.434,0,1.876,71,0,0,0,10,4,0.941,-6.465,-0.071,-6.776
16,-7.95,1.883,16.284,6.314,4.014,0,0,10,4,1,16,0,2,12,-1.901,13.879,0,12.849,8.644,42,20,54,-6.555,13.635,18.345,-8.197,-2.074,-4.177,7.122,-2.066,0,1.876,42,0,0,0,10,4,1,-6.002,-0.012,-5.408
17,-11.601,2.902,21.647,5.013,1.177,0,2,7,5,1,17,0,3,16,-2.104,18.453,3,12.009,10.769,64,14,53,-9.896,7.859,17.388,-10.856,-4.383,-6.344,6.915,-2.574,-0.166,1.608,64,2,0,0,7,5,1,-6.828,-0.067,-6.35
39,-14.172,3.542,29.343,6.775,1.846,2,1,16,7,0.974,38,1,17,31,-4.715,27.411,16,25.049,20.158,73,19,77,-10.917,12.465,21.703,-12.064,-1.01,-1.636,16.23,-4.818,-0.249,3.082,73,1,2,0,16,7,0.963,-7.487,-0.051,-7.203
53,-41.547,10.519,81.981,12.584,4.01,0,6,25,8,0.962,51,2,11,46,-6.825,41.936,10,35.931,34.066,223,42,203,-36.122,31.484,48.998,-39.42,-13.442,-18.971,22.995,-8.142,-0.498,4.422,223,6,0,0,25,8,0.95,-13.169,-0.08,-9.436
37,-16.462,3.919,35.036,7.888,2.712,1,2,21,5,0.946,35,2,25,39,-5.438,26.009,18,24.837,23.583,82,23,88,-12.587,14.143,27.21,-14.628,2.474,-0.828,16.095,-5.636,-0.249,3.484,82,2,1,0,21,5,0.929,-8.03,-0.065,-7.619
65,-47.97,11.528,82.5,16.259,6.056,0,3,40,3,0.969,63,1,32,63,-9.313,63.411,25,47.646,42.451,246,52,213,-41.15,36.513,53.172,-42.433,-12.167,-15.514,28.395,-10.146,-0.249,5.762,246,3,0,0,40,3,0.978,-13.385,-0.071,-9.851
48,-25.806,6.807,50.643,12.404,3.714,2,3,28,1,0.938,45,2,35,52,-6.388,33.947,24,31.989,29.802,138,37,126,-21.001,18.761,35.779,-23.385,3.173,2.31,20.025,-7.123,-0.415,3.886,138,3,2,0,28,1,0.941,-10.219,-0.076,-8.87
42,-23.006,5.698,42.672,8.525,2.369,0,1,22,6,0.952,40,0,21,38,-5.684,35.262,15,27.728,24.982,118,23,104,-18.976,15.254,29.404,-21.927,-3.992,-9.809,17.823,-5.971,-0.083,3.752,118,1,0,0,22,6,1,-8.614,-0.055,-7.52
35,-20.075,4.356,38.872,7.321,2.343,0,1,19,3,0.971,34,0,24,39,-4.98,29.332,15,24.794,22.575,104,20,103,-16.51,18.586,29.58,-18.214,-5.057,-6.467,15.516,-5.395,-0.083,2.948,104,1,0,0,19,3,1,-8.302,-0.072,-7.748
44,-22.506,5.218,40.849,9.093,2.48,0,1,22,3,0.932,41,2,17,29,-5.941,48.594,8,30.039,26.031,115,24,96,-18.321,13.01,24.32,-20.487,-7.781,-12.144,17.658,-6.221,-0.083,3.35,115,1,0,0,22,3,0.933,-8.235,-0.067,-8.172
20,-7.71,1.861,29.21,8.18,2.285,0,2,13,3,1,20,0,7,19,-1.711,11.999,5,13.242,7.814,41,24,76,-6.47,13.179,20.154,-7.172,-4.346,-6.976,6.903,-1.868,-0.166,2.144,41,2,0,0,13,3,1,-6.467,0.006,-5.108
20,-7.563,1.928,33.084,8.657,2.173,0,3,11,3,1,20,0,7,18,-1.764,12.234,5,12.711,7.787,41,24,83,-6.323,13.412,19.492,-6.784,-5.656,-8.354,6.723,-1.861,-0.249,1.876,41,3,0,0,11,3,1,-6.616,-0.012,-5.452
20,-5.937,1.353,32.95,10.998,3.524,0,6,9,1,1,20,0,7,20,-2.259,8.69,5,13.593,8.721,29,35,81,-4.542,11.929,22.27,-5.319,0.205,-1.586,6.903,-2.084,-0.498,1.34,29,6,0,0,9,1,1,-7.076,-0.062,-6.46
10,-6.205,1.51,11.822,3.272,1.066,2,1,4,1,1,10,0,7,19,-1.3,11.522,5,7.37,5.869,33,10,30,-5.275,4.959,13.255,-5.9,-1.583,-2.291,4.11,-1.403,-0.249,0.67,33,1,2,0,4,1,1,-6.052,-0.098,-6.2
35,-20.081,4.479,29.144,6.091,1.285,0,0,16,5,0.971,34,1,15,31,-5.488,43.07,13,25.252,23.127,102,15,75,-16.361,12.086,25.79,-18.875,-5.456,-6.787,15.81,-5.527,0,2.814,102,0,0,0,16,5,0.963,-7.836,-0.078,-7.931
36,-17.153,3.66,37.295,7.63,2.324,0,3,18,4,0.972,35,0,17,32,-4.803,34.272,13,24.606,21.1,83,20,96,-13.743,15.757,26.58,-16.714,-5.713,-9.195,15.228,-5.043,-0.249,2.948,83,3,0,0,18,4,0.96,-8.014,-0.065,-7.562
18,-11.268,2.686,33.212,7.899,3.251,3,5,7,1,1,18,0,7,24,-2.084,13.316,7,11.905,9.725,62,24,77,-9.718,9.763,19.84,-12.273,-5.072,-7.181,6.57,-2.324,-0.664,1.072,62,5,3,0,7,1,1,-8.065,-0.106,-7.134
20,-8.635,2.072,30.32,10.041,2.771,2,2,13,2,1,20,0,7,21,-1.306,17.209,7,13,6.939,48,28,76,-7.55,12.086,19.343,-8.669,-3.251,-4.105,6.96,-1.658,-0.332,2.01,48,2,2,0,13,2,1,-6.957,0.001,-5.198
17,-9.612,2.257,29.389,6.12,1.851,0,5,8,2,1,17,0,6,20,-2.049,18.344,6,11.326,9.73,51,18,68,-8.062,8.417,18.998,-9.773,-4.46,-6.114,6.465,-2.325,-0.415,1.34,51,5,0,0,8,2,1,-7.194,-0.082,-6.618
18,-6.105,1.721,35.464,11.525,4.083,0,6,10,4,1,18,0,11,24,-0.903,13.645,7,11.401,4.924,35,39,90,-5.33,14.951,23.45,-6.523,-6.4,-9.483,5.376,-1.177,-0.498,1.876,35,6,0,0,10,4,1,-7.286,0.011,-5.017
16,-7.752,2.094,33.246,8.707,3.19,0,5,7,7,1,16,0,8,20,-1.064,12.36,6,10.563,5.901,44,28,85,-6.822,14.315,19.724,-8.618,-7.284,-9.952,4.953,-1.41,-0.415,1.876,44,5,0,0,7,7,1,-7.077,0.003,-5.167
16,-7.29,1.886,34.701,9.379,3.422,0,5,7,7,1,16,0,8,21,-1.103,12.384,6,10.454,5.949,40,30,84,-6.36,12.23,20.324,-7.668,-6.1,-7.764,4.773,-1.422,-0.415,1.876,40,5,0,0,7,7,1,-7.022,0.002,-5.179
12,-10.601,2.772,14.581,3.638,0.599,0,2,5,2,1,12,0,4,18,-1.468,20.231,4,8.608,7.772,61,10,34,-9.361,4.414,15.965,-10.775,-3.847,-5.968,5.31,-1.858,-0.166,0.938,61,2,0,0,5,2,1,-6.672,-0.09,-6.304
32,-14.735,3.256,26.359,5.871,1.16,0,2,12,5,0.938,30,1,13,29,-4.296,32.703,11,20.443,18.05,74,14,62,-11.79,7.79,21.866,-13.361,-1.317,-3.429,12.543,-4.314,-0.166,2.278,74,2,0,0,12,5,0.952,-7.331,-0.069,-7.42
41,-21.754,5.122,42.602,9.173,3.179,0,2,17,6,1,41,0,17,37,-6.231,43.61,14,27.808,26.76,112,27,100,-17.414,13.36,26.593,-20.562,-4.804,-9.555,18.378,-6.396,-0.166,3.082,112,2,0,0,17,6,1,-8.493,-0.085,-8.698
18,-11.735,2.649,26.106,4.772,2.327,0,2,10,4,1,18,0,3,19,-2.445,21.959,3,13.317,11.763,62,17,77,-9.875,16.788,22.52,-11.347,-6.88,-9.804,8.19,-2.811,-0.166,1.876,62,2,0,0,10,4,1,-7.095,-0.061,-6.319
31,-9.489,2.257,30.958,13.033,3.658,1,4,15,7,0.968,30,0,14,26,-1.828,22.486,10,20.881,8.767,51,35,90,-8.094,18.62,21.97,-8.88,-3.907,-6.142,9.189,-2.095,-0.415,2.948,51,4,1,0,15,7,1,-7.375,0.014,-4.78
23,-12.913,3.109,25.962,6.954,3.414,3,4,6,2,0.957,22,0,1,12,-2.715,33.216,0,16.822,12.454,69,25,68,-10.898,11.861,19.877,-12.929,-5.693,-7.607,9.96,-2.976,-0.581,1.072,69,4,3,0,6,2,1,-8.039,-0.108,-7.703
16,-13.072,3.254,14.842,2.17,0.981,0,1,9,2,1,16,0,0,12,-2.466,23.481,0,12.438,11.664,72,8,43,-11.212,9.085,14.661,-12.468,-6.194,-8.149,8.07,-2.788,-0.083,1.474,72,1,0,0,9,2,1,-6.656,-0.087,-6.615
33,-16.62,3.558,34.296,5.484,1.378,0,3,18,1,0.97,32,1,4,19,-5.115,25.84,4,22.876,21.345,82,17,89,-13.21,15.236,24.544,-15.05,-2.974,-4.688,14.43,-5.102,-0.249,2.546,82,3,0,0,18,1,0.958,-7.867,-0.085,-8.023
37,-15.207,3.701,31.421,9.985,4.121,0,3,20,3,0.973,36,0,9,34,-4.317,27.766,8,25.97,18.054,77,32,86,-12.262,16.243,29.499,-13.705,1.12,-1.246,15.522,-4.315,-0.249,3.082,77,3,0,0,20,3,1,-8.054,-0.04,-6.7
25,-18.392,4.12,23.344,3.455,1.001,0,2,12,2,1,25,0,3,18,-4.066,31.922,3,19.368,19.528,98,10,60,-15.292,9.81,18.777,-17.824,-4.531,-6.982,12.165,-4.667,-0.166,1.876,98,2,0,0,12,2,1,-7.694,-0.118,-8.175
25,-18.987,4.496,30.141,5.601,2.104,0,3,12,3,1,25,0,3,21,-3.911,24.712,3,19.613,19.394,101,18,82,-15.887,15.309,20.396,-17.391,-4.29,-7.154,12.345,-4.635,-0.249,2.01,101,3,0,0,12,3,1,-8.051,-0.115,-8.092
36,-19.697,4.907,36.979,5.866,2.039,0,3,13,2,0.972,35,1,7,18,-5.666,34.357,3,24.758,24.903,100,15,96,-15.667,15.92,23.579,-17.707,-0.68,-4.319,16.545,-5.952,-0.249,2.01,100,3,0,0,13,2,0.964,-8.222,-0.116,-9.409
26,-11.616,2.758,33.551,9.701,3.121,0,4,14,2,0.962,25,1,10,24,-2.827,30.316,10,17.99,12.539,61,31,93,-9.601,18.602,22.604,-11.112,-8.395,-10.952,10.005,-2.997,-0.332,2.144,61,4,0,0,14,2,0.929,-7.455,-0.046,-6.403
17,-11.646,2.633,17.549,4.169,1.995,0,3,6,3,1,17,0,1,13,-2.041,15.531,0,13.475,9.765,61,15,51,-10.096,10.957,17.338,-11.315,-3.564,-4.26,7.881,-2.334,-0.249,1.206,61,3,0,0,6,3,1,-6.945,-0.081,-6.595
25,-9.878,2.196,18.912,2.809,1.4,0,1,13,2,1,25,0,7,23,-3.668,30.107,5,17.2,15.386,48,9,50,-7.398,9.149,21.23,-9.115,0.885,-0.806,12.378,-3.677,-0.083,2.01,48,1,0,0,13,2,1,-6.505,-0.07,-6.968
9,-3.619,0.794,12.561,2.241,0.741,1,1,2,1,1,9,0,2,14,-1.161,3.697,2,5.604,4.839,18,7,31,-2.844,4.791,10.577,-3.765,2.554,1.036,3.825,-1.157,-0.166,0.402,18,1,1,0,2,1,1,-5.354,-0.102,-6.139
7,-4.559,1.089,15.478,3.328,1.352,4,2,4,0,1,7,0,1,11,-0.549,5.194,1,4.812,2.96,25,10,41,-4.094,7.421,11.661,-4.554,-4.721,-5.757,2.445,-0.707,-0.498,0.536,25,2,4,0,4,0,1,-6.337,-0.096,-5.887
16,-10.84,3.027,24.658,6.08,2.785,0,5,8,1,1,16,0,1,9,-1.898,14.636,1,12.049,9.809,59,20,61,-9.29,9.238,18.464,-11.464,-4.372,-6.512,6.786,-2.344,-0.415,1.206,59,5,0,0,8,1,1,-7.345,-0.097,-6.771
10,-7.082,1.829,19.034,4.269,2.195,0,2,8,2,1,10,0,0,10,-0.88,10.055,0,7.56,4.909,40,15,57,-6.307,12.567,15.788,-7.282,-5.666,-6.525,4.02,-1.173,-0.166,1.34,40,2,0,0,8,2,1,-6.178,0,-5.217
22,-10.427,2.655,32.508,11.29,4.855,0,7,10,4,1,22,0,8,26,-1.728,15.629,6,16.19,8.867,57,38,92,-9.032,19.041,22.205,-9.845,-2.738,-4.84,8.349,-2.119,-0.581,1.876,57,7,0,0,10,4,1,-7.906,-0.037,-6.042
19,-10.118,2.544,31.945,7.556,2.855,3,5,13,0,1,19,0,5,21,-2.175,15.288,5,13.056,9.579,54,25,84,-8.568,15.248,23.283,-9.952,-6.203,-9.089,7.665,-2.289,-0.664,1.742,54,5,3,0,13,0,1,-8.091,-0.064,-6.429
13,-10.399,2.782,28.333,7.85,3.014,0,5,7,1,1,13,0,5,16,-1.251,12.959,4,9.549,6.889,58,26,70,-9.314,10.906,21.15,-10.549,-6.599,-8.72,4.875,-1.646,-0.415,1.072,58,5,0,0,7,1,1,-7.486,-0.076,-6.207
17,-12.205,2.98,26.854,7.857,3.256,3,1,9,1,1,17,0,4,20,-1.833,16.973,4,12.715,9.756,67,24,70,-10.655,11.946,20.698,-12.01,-4.689,-6.42,6.825,-2.332,-0.332,1.34,67,1,3,0,9,1,1,-7.477,-0.078,-6.542
13,-4.522,1.126,22.334,6.512,2.056,4,0,7,0,1,13,0,5,18,-1.247,8.019,4,8.195,5.739,24,18,55,-3.592,8.473,14.578,-4.547,-2.255,-3.957,4.875,-1.372,-0.332,0.938,24,0,4,0,7,0,1,-6.114,-0.059,-5.984
29,-22.547,5.106,29.098,3.51,0.739,0,2,13,4,1,29,0,7,22,-5.453,44.17,3,22.972,25.226,119,10,74,-18.517,11.69,24.828,-20.483,-7.15,-9.936,14.745,-6.029,-0.166,2.278,119,2,0,0,13,4,1,-8.547,-0.135,-9.135
30,-11.627,2.772,21.214,1.694,0.14,2,0,8,3,1,30,0,4,14,-4.437,28.108,0,19.057,19.976,58,4,51,-8.372,6.979,16.311,-9.804,3.925,3.251,15.03,-4.774,-0.166,1.474,58,0,2,0,8,3,1,-6.624,-0.116,-8.684
27,-11.429,3.105,20.536,2.042,0.119,1,0,8,4,0.963,26,0,4,18,-4.837,19.965,0,17.126,20.535,56,5,48,-8.019,6.035,18.806,-9.733,4.867,4.059,13.53,-4.908,-0.083,1.608,56,0,1,0,8,4,1,-6.541,-0.125,-8.601
18,-10.49,2.371,16.41,4.102,0.749,0,1,9,3,1,18,0,4,16,-2.62,13.445,3,12.987,11.74,55,12,40,-8.63,5.862,16.197,-9.165,-2.057,-2.465,7.92,-2.806,-0.083,1.608,55,1,0,0,9,3,1,-6.359,-0.071,-6.499
29,-8.128,1.898,29.91,8.743,2.119,1,3,11,5,0.897,26,2,8,29,-3.211,17.058,8,16.489,13.433,40,26,70,-5.958,9.191,24.709,-7.284,0.573,-0.604,9.84,-3.211,-0.332,2.144,40,3,1,0,11,5,0.824,-7.1,-0.048,-6.617
34,-15.12,3.375,51.132,12.124,2.759,0,4,16,7,1,34,0,11,30,-4.25,25.801,11,22.948,19.237,77,35,121,-12.02,16.951,30.521,-14.03,-6.305,-9.539,13.56,-4.598,-0.332,3.082,77,4,0,0,16,7,1,-8.306,-0.054,-7.066
9,-10.406,2.678,11.8,2.277,1.242,0,3,4,0,1,9,0,0,9,-1.236,12.249,0,7.484,6.923,59,7,32,-9.321,6.037,12.393,-10.307,-4.368,-4.99,4.455,-1.654,-0.249,0.536,59,3,0,0,4,0,1,-6.597,-0.152,-6.585
25,-17.281,3.663,23.726,3.287,1.714,0,2,11,2,1,25,0,3,20,-3.706,36.746,3,18.618,17.625,92,11,67,-14.491,13.501,21.32,-17.093,-8.217,-9.85,11.895,-4.212,-0.166,1.742,92,2,0,0,11,2,1,-7.712,-0.105,-7.854
31,-16.635,3.899,17.834,3.446,1.474,2,0,16,2,0.968,30,0,2,13,-4.668,52.894,2,23.69,20.212,87,11,52,-13.38,10.825,17.446,-14.639,-6.723,-7.574,14.58,-4.831,-0.166,2.412,87,0,2,0,16,2,1,-7.36,-0.083,-7.803
19,-14.012,3.402,20.446,2.525,0.667,0,2,8,2,1,19,0,5,16,-2.816,22.976,4,13.561,13.669,74,7,48,-11.842,6.319,15.803,-13.459,-3.296,-4.357,9.195,-3.267,-0.166,1.34,74,2,0,0,8,2,1,-6.961,-0.11,-7.311
20,-8.03,1.564,12.866,1.898,0.494,0,0,8,2,0.95,19,0,6,12,-3.444,17.311,4,13.296,14.286,37,6,31,-5.705,4.426,11.061,-7.081,0.79,-0.102,9.645,-3.414,0,1.34,37,0,0,0,8,2,1,-5.443,-0.104,-7.292
37,-20.086,5.031,42.965,4.5,1.629,0,4,14,3,0.973,36,0,9,26,-5.43,20.487,8,23.121,24.097,104,13,103,-16.211,14.166,26.648,-19.457,1.347,0.416,17.46,-5.759,-0.332,2.278,104,4,0,0,14,3,0.967,-8.691,-0.103,-9.031
8,-7.408,1.885,12.511,3.232,1.889,4,0,7,0,1,8,0,3,12,-0.875,7.304,3,6.472,4.91,42,10,37,-6.633,8.069,12.245,-7.064,-3,-4.151,3.63,-1.173,-0.332,0.938,42,0,4,0,7,0,1,-6.386,-0.071,-5.785
21,-11.221,2.765,30.991,5.831,2.564,0,3,12,2,0.952,20,1,2,13,-2.381,14.902,2,13.577,11.742,60,20,76,-9.361,11.218,21.635,-10.697,-2.682,-5.338,8.58,-2.806,-0.249,1.876,60,3,0,0,12,2,0.929,-7.184,-0.056,-6.397
26,-14.391,2.888,24.449,4.715,1.892,0,1,15,2,1,26,0,7,18,-4.208,36.508,6,19.589,18.413,74,17,63,-11.446,10.477,20.921,-13.025,-5.349,-7.712,12.27,-4.401,-0.083,2.278,74,1,0,0,15,2,1,-7.084,-0.085,-7.424
29,-15.058,3.014,21.781,3.43,1.202,0,2,14,2,0.897,26,2,8,18,-4.418,27.782,4,19.336,18.531,75,11,58,-12.113,10.31,20.748,-13.241,-4.189,-5.333,12.45,-4.429,-0.166,2.144,75,2,0,0,14,2,0.909,-7.286,-0.085,-7.669
30,-16.563,4.173,22.836,4.308,1.658,0,0,19,3,1,30,0,4,20,-3.735,33.919,4,21.441,18.031,89,13,61,-13.618,11.017,22.331,-15.008,-3.069,-4.41,13.983,-4.309,0,2.948,89,0,0,0,19,3,1,-7.326,-0.045,-6.579
36,-15.184,3.41,30.154,9.488,4.132,0,1,23,2,0.972,35,0,5,23,-4.652,40.523,3,26.127,19.373,76,32,90,-12.084,19.86,26.229,-14.997,-1.655,-4.546,15.564,-4.63,-0.083,3.35,76,1,0,0,23,2,0.957,-7.454,-0.038,-6.581
28,-15.048,3.2,20.997,4.309,1.327,0,0,19,2,1,28,0,7,25,-4.249,38.317,7,21.078,18.558,77,13,54,-12.103,9.097,19.772,-14.452,-3.24,-4.482,13.11,-4.435,0,2.814,77,0,0,0,19,2,1,-6.894,-0.058,-6.839
33,-21.639,5.155,33.871,8.769,4.027,12,2,17,1,1,33,0,20,40,-4.618,27.972,20,25.045,22.292,117,24,92,-18.074,17.114,28.351,-21.534,-2.164,-7.34,15.345,-5.328,-1.162,2.412,117,2,12,0,17,1,1,-10.983,-0.124,-9.296
52,-28.077,7.157,46.197,5.913,2.27,0,1,18,7,0.942,49,1,18,41,-7.841,68.405,16,34.935,36.075,146,18,114,-22.187,17.039,29.779,-24.026,-1.662,-2.876,24.348,-8.622,-0.083,3.35,146,1,0,0,18,7,0.953,-9.281,-0.103,-10.573
24,-14.23,3.093,21.649,5.169,2.16,0,3,13,2,1,24,0,1,16,-3.701,25.641,1,18.727,15.58,73,20,64,-11.75,14.306,20.546,-13.533,-5.617,-9.465,11.25,-3.724,-0.249,2.01,73,3,0,0,13,2,1,-7.416,-0.082,-7.181
